jobStatus,token,count,commitMessage,jobStage,jobName
canceled,ok false error code description bad request cant parse entities character is reserved and must be escaped with the preceding,1,"try, again, add, uuid, uploaded, chunk, fix, parent, transform, bug, added, nonintersectingpathsbuilder, , items, intersected, method, used, interactiveshapesbuilder, instead, checking, size, check, empty, sets, perform, union, avoid, crashing, nothing, selected, ci, html, pase, mode","build, test","assembledebug, test, inkscape, windows, , [mingw64, [mingw32"
canceled,packages ming adobe source code pro fonts,2,"try, again, add, uuid, uploaded, chunk, fix, parent, transform, bug, added, nonintersectingpathsbuilder, , items, intersected, method, used, interactiveshapesbuilder, instead, checking, size, check, empty, sets, perform, union, avoid, crashing, nothing, selected, ci, html, pase, mode","build, test","assembledebug, test, inkscape, windows, , [mingw64, [mingw32"
canceled,assertion error,0,"try, again, add, uuid, uploaded, chunk, fix, parent, transform, bug, added, nonintersectingpathsbuilder, , items, intersected, method, used, interactiveshapesbuilder, instead, checking, size, check, empty, sets, perform, union, avoid, crashing, nothing, selected, ci, html, pase, mode","build, test","assembledebug, test, inkscape, windows, , [mingw64, [mingw32"
canceled,assertion error,1,"try, again, add, uuid, uploaded, chunk, fix, parent, transform, bug, added, nonintersectingpathsbuilder, , items, intersected, method, used, interactiveshapesbuilder, instead, checking, size, check, empty, sets, perform, union, avoid, crashing, nothing, selected, ci, html, pase, mode","build, test","assembledebug, test, inkscape, windows, , [mingw64, [mingw32"
canceled,packages dal,3,"try, again, add, uuid, uploaded, chunk, fix, parent, transform, bug, added, nonintersectingpathsbuilder, , items, intersected, method, used, interactiveshapesbuilder, instead, checking, size, check, empty, sets, perform, union, avoid, crashing, nothing, selected, ci, html, pase, mode","build, test","assembledebug, test, inkscape, windows, , [mingw64, [mingw32"
canceled,ok false error code description bad request cant parse entities unexpected end of name token at byte offset,3,"try, again, add, uuid, uploaded, chunk, fix, parent, transform, bug, added, nonintersectingpathsbuilder, , items, intersected, method, used, interactiveshapesbuilder, instead, checking, size, check, empty, sets, perform, union, avoid, crashing, nothing, selected, ci, html, pase, mode","build, test","assembledebug, test, inkscape, windows, , [mingw64, [mingw32"
failed,error,45,"dx, , setup, ci, builds, merge, branch, develop, lib, updates, updatessee, request, terrakok/gitlab, client, 241, prepare, changelog, 2240, release, signing.","build, test, code, quality, security","build, release, unittests, lint, retire, js, dependency, scanning, buildrelease"
failed,make,14,"dx, , setup, ci, builds, merge, branch, develop, lib, updates, updatessee, request, terrakok/gitlab, client, 241, prepare, changelog, 2240, release, signing.","build, test, code, quality, security","build, release, unittests, lint, retire, js, dependency, scanning, buildrelease"
failed,lib error exp at fake i,23,"dx, , setup, ci, builds, merge, branch, develop, lib, updates, updatessee, request, terrakok/gitlab, client, 241, prepare, changelog, 2240, release, signing.","build, test, code, quality, security","build, release, unittests, lint, retire, js, dependency, scanning, buildrelease"
failed,section end build script start after upload artifacts on failure error job failed exit cod,36,"dx, , setup, ci, builds, merge, branch, develop, lib, updates, updatessee, request, terrakok/gitlab, client, 241, prepare, changelog, 2240, release, signing.","build, test, code, quality, security","build, release, unittests, lint, retire, js, dependency, scanning, buildrelease"
